Nom,Naissance,Taille,Poids,Nationalité,Latéralité
L. Messi,6/24/1987,170.18,72.1,Argentina,Left
C. Eriksen,2/14/1992,154.94,76.2,Denmark,Right
P. Pogba,3/15/1993,190.5,83.9,France,Right
L. Insigne,6/4/1991,162.56,59,Italy,Right
K. Koulibaly,6/20/1991,187.96,88.9,Senegal,Right
V. van Dijk,7/8/1991,193.04,92.1,Netherlands,Right
K. Mbappé,12/20/1998,152.4,73,France,Right
S. Agüero,6/2/1988,172.72,69.9,Argentina,Right
M. Neuer,3/27/1986,193.04,92.1,Germany,Right
E. Cavani,2/14/1987,185.42,77.1,Uruguay,Right
Sergio Busquets,7/16/1988,187.96,76.2,Spain,Right
T. Courtois,5/11/1992,198.12,96.2,Belgium,Left
M. ter Stegen,4/30/1992,187.96,84.8,Germany,Right
A. Griezmann,3/21/1991,175.26,73,France,Left
M. Salah,6/15/1992,175.26,71.2,Egypt,Left
P. Dybala,11/15/1993,152.4,74.8,Argentina,Left
M. Škriniar,2/11/1995,187.96,79.8,Slovakia,Right
Fernandinho,5/4/1985,152.4,67.1,Brazil,Right
G. Higuaín,12/10/1987,185.42,88.9,Argentina,Right
I. Rakitić,3/10/1988,182.88,78,Croatia,Right
J. Vertonghen,4/24/1987,187.96,86.2,Belgium,Left
D. Mertens,5/6/1987,170.18,60.8,Belgium,Right
Marcelo,5/12/1988,175.26,79.8,Brazil,Left
T. Alderweireld,3/2/1989,185.42,81.2,Belgium,Right
Jordi Alba,3/21/1989,170.18,68,Spain,Left
Thiago,4/11/1991,175.26,69.9,Spain,Right
C. Immobile,2/20/1990,185.42,84.8,Italy,Right
K. Navas,12/15/1986,185.42,79.8,Costa Rica,Right
Isco,4/21/1992,175.26,78.9,Spain,Right
J. Rodríguez,7/12/1991,154.94,74.8,Colombia,Left
Casemiro,2/23/1992,185.42,83.9,Brazil,Right
M. Icardi,2/19/1993,154.94,74.8,Argentina,Right
Kepa,10/3/1994,185.42,84.8,Spain,Right
H. Ziyech,3/19/1993,154.94,64.9,Morocco,Left
Fabinho,10/23/1993,187.96,78,Brazil,Right
A. Martial,12/5/1995,182.88,76.2,France,Right
T. Werner,3/6/1996,154.94,74.8,Germany,Right
N. Süle,9/3/1995,195.58,97.1,Germany,Right
Bruno Fernandes,9/8/1994,152.4,68.9,Portugal,Right
Alex Telles,12/15/1992,154.94,71.2,Brazil,Left
J. Giménez,1/20/1995,185.42,79.8,Uruguay,Right
N. Fekir,7/18/1993,172.72,74.8,France,Left
D. Sánchez,6/12/1996,187.96,78.9,Colombia,Right
Marco Asensio,1/21/1996,182.88,76.2,Spain,Left
O. Dembélé,5/15/1997,152.4,67.1,France,Left
Iniesta,5/11/1984,170.18,68,Spain,Right
Z. Ibrahimović,10/3/1981,195.58,94.8,Sweden,Right
Jorginho,12/20/1991,154.94,67.1,Italy,Right
E. Višća,2/17/1990,172.72,63,Bosnia Herzegovina,Right
S. Gnabry,7/14/1995,175.26,74.8,Germany,Right
M. Kovačić,5/6/1994,175.26,78,Croatia,Right
William Carvalho,4/7/1992,187.96,83,Portugal,Right
Felipe,5/16/1989,190.5,86.2,Brazil,Right
Y. Carrasco,9/4/1993,154.94,73,Belgium,Right
Lucas Vázquez,7/1/1991,172.72,69.9,Spain,Right
Q. Promes,1/4/1992,175.26,72.1,Netherlands,Right
L. Goretzka,2/6/1995,187.96,78.9,Germany,Right
A. Rabiot,4/3/1995,193.04,79.8,France,Left
A. Romagnoli,1/12/1995,187.96,78,Italy,Left
João Cancelo,5/27/1994,182.88,73.9,Portugal,Right
Anderson Talisca,2/1/1994,190.5,79.8,Brazil,Left
K. Coman,6/13/1996,152.4,71.2,France,Right
T. Lemar,11/12/1995,170.18,62.1,France,Left
J. Tah,2/11/1996,195.58,97.1,Germany,Right
M. Politano,8/3/1993,170.18,67.1,Italy,Left
C. Lenglet,6/17/1995,185.42,81.2,France,Left
Pau López,12/13/1994,187.96,77.1,Spain,Left
H. Lozano,7/30/1995,175.26,69.9,Mexico,Right
Malcom,2/26/1997,172.72,73.9,Brazil,Left
L. Torreira,2/11/1996,167.64,64,Uruguay,Right
Gonçalo Guedes,11/29/1996,152.4,68,Portugal,Right
G. Lo Celso,4/9/1996,175.26,69.9,Argentina,Left
Fabián,4/3/1996,187.96,69.9,Spain,Left
F. de Jong,5/12/1997,154.94,69.9,Netherlands,Right
Raphaelito Anjos,2/29/1988,190.5,84.8,Brazil,Right
Juiano Mestres,2/29/1984,154.94,82.1,Brazil,Right
Rosberto Dourado,2/29/1988,175.26,69.9,Brazil,Right
Arthur,8/12/1996,170.18,73,Brazil,Right
Rodri,6/22/1996,190.5,82.1,Spain,Right
M. Parolo,1/25/1985,182.88,74.8,Italy,Right
M. Kruse,3/19/1988,154.94,76.2,Germany,Left
J. Henderson,6/17/1990,182.88,79.8,England,Right
N. Gaitán,2/23/1988,172.72,66.2,Argentina,Left
M. Arnautović,4/19/1989,193.04,83,Austria,Right
S. Giovinco,1/26/1987,162.56,60.8,Italy,Right
G. Sigurðsson,9/8/1989,185.42,77.1,Iceland,Right
Giuliano,5/31/1990,172.72,68,Brazil,Right
P. Gulácsi,5/6/1990,193.04,86.2,Hungary,Right
Luiz Gustavo,7/23/1987,187.96,78,Brazil,Left
K. Trippier,9/19/1990,152.4,72.1,England,Right
A. Ramsey,12/26/1990,182.88,76.2,Wales,Right
M. Balotelli,8/12/1990,187.96,88,Italy,Right
Marlos,6/7/1988,175.26,68.9,Ukraine,Left
Taison,1/13/1988,172.72,64,Brazil,Right
G. Bonaventura,8/22/1989,154.94,74.8,Italy,Right
G. Kondogbia,2/15/1993,187.96,79.8,Central African Rep.,Left
J. Roussillon,1/6/1993,175.26,79.8,France,Left
S. Zaza,6/25/1991,185.42,83.9,Italy,Left
S. Vrsaljko,1/10/1992,154.94,76.2,Croatia,Right
C. Kramer,2/19/1991,190.5,76.2,Germany,Right
B. Mendy,7/17/1994,185.42,84.8,France,Left
M. Sabitzer,3/17/1994,152.4,77.1,Austria,Right
M. Nastasić,3/28/1993,187.96,83,Serbia,Left
A. Plea,3/10/1993,154.94,78.9,France,Right
M. Ginter,1/19/1994,187.96,83,Germany,Right
Gerard Moreno,4/7/1992,154.94,77.1,Spain,Left
A. Doucouré,1/1/1993,182.88,76.2,France,Right
R. Guerreiro,12/22/1993,170.18,71.2,Portugal,Left
Ricardo Pereira,10/6/1993,175.26,69.9,Portugal,Right
Samu Castillejo,1/18/1995,182.88,67.1,Spain,Left
J. Brandt,5/2/1996,185.42,83.9,Germany,Right
N. Pépé,5/29/1995,182.88,73,Ivory Coast,Left
S. Bergwijn,10/8/1997,152.4,78,Netherlands,Right
A. Onana,4/2/1996,187.96,93,Cameroon,Right
F. Balbuena,8/23/1991,187.96,84.8,Paraguay,Right
André Silva,11/6/1995,185.42,78.9,Portugal,Right
Oyarzabal,4/21/1997,154.94,78,Spain,Left
Everton Andrão,2/29/1984,152.4,74.8,Brazil,Right
Welington Dano,2/29/1988,152.4,68.9,Brazil,Left
Richarlison,5/10/1997,154.94,71.2,Brazil,Right
Odriozola,12/14/1995,175.26,66.2,Spain,Right
Carlos Soler,1/2/1997,154.94,76.2,Spain,Right
H. Aouar,6/30/1998,175.26,69.9,France,Right
T. Ndombele,12/28/1996,154.94,76.2,France,Right
M. Gómez,8/14/1996,185.42,83.9,Uruguay,Right
Joaquín,7/21/1981,152.4,74.8,Spain,Right
J. Mathieu,10/29/1983,187.96,83.9,France,Left
J. Matip,8/8/1991,193.04,89.8,Cameroon,Right
